img,approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max
01_01,5,16.2389858503,0.608031894741,1,10,32.478900271,43.5827935742,25.6195653492,0.962532674993,-5,1.34188021178,0.788806429264,0.587836695359
01_02,8,15.3907593151,0.368992084992,1,31,34.5448080513,38.3638617724,31.882023212,0.960543171919,-23,1.11055362402,0.922917943694,0.831043115555
01_03,8,33.1991517452,0.706883498253,0,44,25.6690760332,45.5601216583,16.5658122288,0.613151658768,-36,1.77490306232,0.64536067474,0.363603336115
01_04,4,20.7422817002,0.832367176261,1,12,30.5549160722,49.5039899984,23.744785065,0.935267857143,-8,1.62016448945,0.777118320629,0.479653964574
01_05,10,30.2448495622,0.833467241295,0,8,28.3838390978,46.5089984569,19.8961551267,0.81356477017,2,1.63857321403,0.700967725266,0.427791519638
01_06,8,17.0869214718,0.871973490656,1,46,31.7403653062,45.8228102976,21.5846931854,0.973846153846,-38,1.44367621026,0.680039217481,0.47104690972
01_07,5,16.1799358093,0.187847605929,1,6,35.873762973,42.1371783177,32.3223831734,0.966069295102,-1,1.17459599511,0.901003421295,0.767075168862
01_08,3,22.5072778304,0.670572551073,1,3,29.5055509813,49.2499190141,19.0767584516,0.948993754337,0,1.66917469344,0.646548117798,0.387345986216
01_09,7,15.6690320762,0.30137388557,1,125,36.0507873047,43.6376869241,34.4228629017,0.964792060491,-118,1.21045031708,0.954843582493,0.788833353189
01_10,4,19.8302581561,0.855383500332,1,4,33.6202082956,54.1988482738,22.2815836518,0.960768398268,0,1.61209138853,0.66274377172,0.411108065235
01_11,6,32.1524008457,0.366198650055,0,33,24.6764424557,45.2015421038,13.6134793863,0.658746556474,-27,1.83176899121,0.551679173799,0.301172897044
01_12,6,15.7118493499,0.186010407486,1,28,38.1610761024,43.1436271892,35.4450656133,0.95891846573,-22,1.1305663151,0.928827727976,0.821559704701
01_13,4,20.987272092,0.795050332317,1,3,35.2155550371,60.747418566,22.2289836144,0.932280449868,1,1.72501664398,0.631226274611,0.365924744445
01_14,3,24.3992518552,0.816572742508,1,4,31.8204925787,56.0979275976,18.4433111608,0.948137108793,-1,1.76294969221,0.579604829034,0.328769919865
01_15,8,16.3513897285,0.614694262845,1,49,41.1703794484,52.930093011,33.7014955528,0.947508896797,-41,1.28563529703,0.818585983522,0.636717104309
01_16,5,23.0975224199,0.739064603711,0,24,34.9888528286,59.6913083051,17.3244339163,0.826741186586,-19,1.70600929952,0.495141524107,0.290233777886
02_01,5,16.319543822,0.532777507547,1,8,31.7102653798,41.3946477275,25.6852941265,0.965464547677,-3,1.30540212237,0.809999343082,0.620497951707
02_02,3,26.7131025625,0.870134605434,0,8,28.439856202,58.9445567187,12.633495086,0.835855263158,-5,2.07260389433,0.444217966373,0.214328443359
02_03,8,33.8373214772,0.717653399977,0,53,25.6628750243,46.2232831714,17.1925053623,0.605856515373,-45,1.80117321725,0.669936838567,0.371944703681
02_04,5,15.5616889065,0.270829810579,1,25,33.7477817459,39.2582566304,30.3471618598,0.972282608696,-20,1.16328406193,0.899234269333,0.773013487214
02_05,12,20.3954690667,0.342364882389,0,20,31.73033517,36.5678310726,24.4511709919,0.880567928731,-8,1.15245650185,0.770592899851,0.668652481558
02_06,4,20.9644347122,0.839340767674,1,13,30.4348775058,50.4338457846,23.9296136382,0.94942903752,-9,1.65710690884,0.786256282243,0.474475290669
02_07,10,31.3450369273,0.840042132849,0,21,28.2038367172,47.6015494128,20.0980973454,0.806129032258,-11,1.68776857879,0.712601535276,0.422215192432
02_08,4,26.4988981861,0.734276664685,0,6,29.2672496781,53.1553412061,19.2647689937,0.863053239256,-2,1.81620554684,0.658236397528,0.362423955082
02_09,3,22.6651767938,0.658929196329,1,4,28.0737471348,47.0770276338,18.9166867633,0.949022614028,-1,1.67690573715,0.673821227799,0.401824153183
02_10,3,25.2103180765,0.900965418882,1,8,27.6222518485,57.4105010938,14.2018000986,0.94743083004,-5,2.07841494635,0.51414345856,0.247372864337
02_11,4,20.6450985121,0.865756731821,1,6,32.6840630588,53.5469173801,21.2282984833,0.957489300999,-2,1.63831887375,0.649499985517,0.396442961089
02_12,7,17.0528747258,0.635993133199,0,86,35.5797472919,46.6841807816,25.3807537778,0.9250988602,-79,1.31209984148,0.713348343077,0.543669254828
02_13,8,17.0777564167,0.87928071587,1,93,31.5946166787,46.2840947871,21.0780548093,0.978165938865,-85,1.46493610788,0.667140703863,0.455406007318
02_14,6,15.9866120325,0.195682724876,1,21,36.6202068603,41.6444105721,33.8639066174,0.956630336058,-15,1.13719757867,0.924732805212,0.81316810953
