approx_shape,compactness,eccentricity,is_convex,num_lines,radius_equiv,radius_max,radius_min,solidity,line_diff,rad_max_div_equiv,rad_min_div_equiv,rad_min_div_max,img
5,17.6242948856,0.619408527522,1,8,25.7927831403,34.8834223608,19.1601796899,0.95,-3,1.35244894555,0.742850416167,0.549263185581,10_01
3,21.2829941132,0.512802971053,1,4,20.2323136006,31.5316088645,14.3053696824,0.951183431953,-1,1.55847766533,0.707055553053,0.453683468671,10_02
4,18.8670349972,0.826787663449,1,10,22.2049997455,34.9429096537,15.6522024392,0.955582973473,-6,1.5736505316,0.704895411779,0.447936436728,10_03
3,21.4870653795,0.787410493676,1,4,20.9966471696,37.2783426348,12.8773620802,0.953200275292,-1,1.77544263775,0.613305637617,0.345438159801,10_04
10,33.5207150264,0.674438153167,0,33,19.7143696585,31.5875487608,11.1215870555,0.637597911227,-23,1.60226014364,0.564136071717,0.352087689353,10_05
4,24.5692189209,0.95820068047,1,2,24.2732692344,43.3520572746,10.8258152926,0.952650540401,2,1.78599993499,0.445997413372,0.249718605603,10_06
6,21.3328674468,0.657545238972,0,10,27.5530230383,45.7008050626,17.8211019752,0.838312829525,-4,1.65864939753,0.646792983494,0.389951598244,10_07
6,15.827737293,0.653254517854,1,14,29.7900648318,37.5379851866,23.7612295075,0.962374870556,-8,1.26008403804,0.797622618202,0.63299160542,10_08
5,16.1727754984,0.642676429845,1,22,29.9977007159,38.209267913,23.5477555741,0.967819239986,-17,1.27373988676,0.78498534928,0.616283871958,10_09
8,15.2630759459,0.698132759705,1,67,30.6744848948,38.1303101595,24.9629573624,0.9606759831,-59,1.24306276993,0.813802006719,0.65467490975,10_10
3,25.2934712369,0.862096283252,1,3,25.4261160785,50.9286708808,14.5974315409,0.93724042455,0,2.00300630751,0.57411173204,0.286625024538,10_11
4,21.0066682156,0.905993849605,1,11,30.0983377627,51.100809909,17.0476908764,0.958249158249,-7,1.69779508463,0.566399746416,0.333609015331,10_12
4,24.5968772094,0.665559378242,0,3,28.8013118346,49.6761285483,19.1904704434,0.874203287487,1,1.72478701087,0.666305429196,0.38631171559,10_13
4,17.9480515057,0.554213446435,1,5,35.7448721237,45.4158753172,28.1843058111,0.970502901354,-1,1.27055637967,0.788485288563,0.620582684233,10_14
5,16.4104340489,0.703749936814,1,11,34.3831778241,48.0655843106,25.5526933343,0.973270440252,-6,1.39793897343,0.743174277405,0.531621402316,10_15
10,31.7219318537,0.822018295367,0,6,31.564377766,51.812310336,22.9709743393,0.804007192397,4,1.64148049171,0.727749949947,0.443349740445,10_16
5,22.0168512482,0.721646369401,0,10,37.7248393122,61.5826754371,19.2628596966,0.838522130533,-5,1.63241717022,0.510614758017,0.31279673317,10_17
6,33.5529961885,0.406252989099,0,25,28.4790026159,53.8819625182,16.799882663,0.644736842105,-19,1.89198909965,0.589904179217,0.311790474547,10_18
