chain_0_len,chain_1_len,chain_2_len,chain_3_len,chain_4_len,chain_5_len,chain_6_len,chain_7_len,fingure_0_len,fingure_0_width,fingure_1_len,fingure_1_width,fingure_2_len,fingure_2_width,fingure_3_len,fingure_3_width,fingure_4_len,fingure_4_width,img,median_skin_color,palm_circle_radius,texture_contrast_00,texture_contrast_90,texture_correlation_00,texture_correlation_90,texture_dissimilarity_00,texture_dissimilarity_90,texture_energy_00,texture_energy_90
119.402694702,174.103439331,149.723083496,182.002746582,182.887939453,169.186294556,242.21685791,142.302490234,142.768225938,32.0306268105,176.721270088,33.5973206434,198.989785087,36.2036075806,194.851243468,38.4142364055,143.913040778,41.9822943568,../training/001.tif,169.0,87.8759765625,1912.69410569,1759.53200205,0.414511507608,0.46933601357,29.996570122,28.7101894521,0.0587702023827,0.0584039921015
118.983200073,173.933883667,148.189041138,178.549697876,181.041427612,168.297363281,236.349334717,133.775939941,141.876125977,31.3573230315,175.444867848,32.685864989,198.418756387,35.865474264,194.717691048,37.3231867338,141.909138531,40.1478046908,../training/002.tif,163.0,85.3996276855,1283.52972561,1181.84511009,0.606213032666,0.649379021656,22.5699949187,20.9078341014,0.0574940752712,0.057684452965
133.689956665,179.354400635,164.003036499,182.134552002,182.010986328,160.252929688,235.732894897,127.769317627,147.80005305,37.3109877547,180.890022566,40.4058429963,194.65726295,41.4921267078,180.223206161,41.6659068532,132.765694194,43.5469592902,../training/003.tif,172.0,98.3222961426,1846.83949441,1664.08890169,0.420286067502,0.484815253419,28.7320248984,27.2773297491,0.0755983592349,0.0765309828429
129.834503174,179.354385376,160.46182251,182.332107544,178.101104736,160.822891235,227.369735718,122.674377441,146.782700286,36.8214297568,179.366160096,40.8900952708,190.804706721,43.5712174284,179.502900464,39.3432475604,134.817802642,41.5229334083,../training/004.tif,173.0,99.8604736328,2564.41012449,2301.80011521,0.275255182894,0.351972600341,35.6841336382,33.36437532,0.0726168655187,0.0741479375223
133.660018921,181.33946228,164.538742065,184.458648682,181.804824829,163.024536133,230.360610962,131.848403931,146.451198295,37.9711388038,182.121824718,40.7732127452,193.879519864,42.8225342644,181.19402468,44.0316613072,123.700225572,49.5985566896,../training/005.tif,155.0,98.8604736328,1665.28836382,1535.4187788,0.502942819216,0.539305489626,27.0057164634,26.0895417307,0.0801398903594,0.0812110849807
132.457519531,180.346893311,164.201095581,182.098876953,181.176727295,161.623016357,232.297225952,126.479255676,148.443116727,36.933402541,182.994844123,40.2013639464,192.545232913,43.0990446427,178.952380164,43.7748732997,130.614139686,43.9538851356,../training/006.tif,156.0,99.269744873,1973.2570503,1787.15322581,0.358379018451,0.416393053046,30.4958714431,28.6053507424,0.0905478591053,0.0917186850655
131.643447876,182.332107544,163.615402222,184.390884399,180.623916626,163.248275757,234.437637329,129.849945068,146.446872039,37.5010154633,183.177228383,40.5162822079,193.649896991,42.5354019665,181.556411151,43.3689601409,127.499082031,48.2240015849,../training/007.tif,149.0,99.9161071777,2392.90027947,2286.82693292,0.38228313364,0.413183885709,33.8722052846,33.1456733231,0.0861412334846,0.0847678862699
150.628662109,189.000015259,176.527633667,197.253662109,193.002624512,178.216156006,254.196746826,151.330749512,159.187590672,40.4014308007,194.94700808,41.8311874152,205.93908079,43.5988601994,188.224763073,45.8179876768,151.68160741,42.4970288563,../training/008.tif,157.0,98.9224853516,1536.66736535,1466.8062596,0.334544202209,0.352447578821,25.9145706301,25.2966589862,0.0887238492747,0.0892249470667
134.301879883,189.517807007,163.174758911,190.002639771,187.984039307,169.446151733,246.951416016,126.245796204,154.935172837,36.7946646572,190.613981453,40.8952284109,203.286064172,43.0959543189,186.684678747,41.7343166083,145.332107796,41.2922373569,../training/009.tif,157.0,98.8604736328,887.668381606,853.87391193,0.694459970635,0.707088058616,16.2393927846,15.5327700973,0.0930568271631,0.0943416145245
127.863212585,183.635513306,172.011627197,197.063430786,193.569091797,172.29045105,245.448577881,122.18838501,148.036426691,40.8936673449,192.705788483,41.9877967538,211.040848845,43.7205278907,193.255128804,41.9056754454,140.640926694,44.1179111401,../training/010.tif,153.0,97.9130249023,1360.96258892,1295.55088326,0.480373703478,0.51000035865,22.4882494919,21.6221838198,0.0846138148064,0.0853439845239
